"","id","mean_sed_mins","mean_active_mins","mean_sleep_time","mean_bed_time","mean_steps","mean_dist","mean_calories"
"1","1503960366",848,278,NA,NA,12117,7.81,1816
"2","1624580081",1258,168,NA,NA,5744,3.91,1483
"3","1644430081",1162,209,NA,NA,7283,5.3,2811
"4","1844505072",1207,117,NA,NA,2580,1.71,1573
"5","1927972279",1317,41,NA,NA,916,0.63,2173
"6","2022484408",1113,313,NA,NA,11371,8.08,2510
"7","2026352035",689,257,NA,NA,5567,3.45,1541
"8","2320127002",1220,202,NA,NA,4717,3.19,1724
"9","2347167796",687,287,NA,NA,9520,6.36,2043
"10","2873212765",1097,328,NA,NA,7556,5.1,1917
"11","3372868164",1078,341,NA,NA,6862,4.71,1933
"12","3977333714",708,255,NA,NA,10985,7.52,1514
"13","4020332650",1237,87,NA,NA,2267,1.63,2386
"14","4057192912",1217,105,NA,NA,3838,2.86,1974
"15","4319703577",736,245,NA,NA,7269,4.89,2038
"16","4388161847",839,272,NA,NA,10776,8.36,3088
"17","4445114986",830,217,NA,NA,4797,3.25,2186
"18","4558609924",1094,309,NA,NA,7685,5.08,2033
"19","4702921684",760,276,NA,NA,8753,7.1,2988
"20","5553957443",668,243,463,506,8613,5.64,1876
"21","5577150313",754,265,NA,NA,8304,6.21,3360
"22","6117666160",796,292,NA,NA,7047,5.34,2261
"23","6290855005",1193,234,NA,NA,5650,4.27,2600
"24","6775888955",1299,66,NA,NA,2520,1.81,2132
"25","6962181067",662,287,448,466,9795,6.59,1982
"26","7007744171",1055,328,NA,NA,11323,8.02,2544
"27","7086361926",850,212,NA,NA,9372,6.39,2566
"28","8053475328",1148,246,NA,NA,14763,11.48,2946
"29","8253242879",1287,152,NA,NA,6482,4.67,1788
"30","8378563200",715,227,443,483,8833,7.01,3454
"31","8583815059",1267,170,NA,NA,7199,5.62,2732
"32","8792009665",1060,97,NA,NA,1854,1.19,1962
"33","8877689391",1113,311,NA,NA,16040,13.21,3420
